# Arquivo gerado pela classe ProposicoesFinder
# para achar as proposições da camara dos deputados
# que possuem votacoes.
# id  : proposicao
#-----------
98814: PLP 347/2002
100739: PLP 349/2002
144047: PL 2546/2003
140174: PL 2399/2003
140375: PL 2401/2003
132375: PL 1936/2003
130914: PL 1840/2003
125878: PL 1555/2003
124899: PL 1503/2003
117570: PL 1144/2003
116898: PL 1084/2003
116897: PL 1083/2003
112893: PL 836/2003
107630: PL 475/2003
104464: PL 58/2003
150373: MPV 160/2003
149101: MPV 148/2003
149109: MPV 141/2003
148770: MPV 143/2003
150358: MPV 154/2003
149095: MPV 147/2003
150359: MPV 155/2003
139375: MPV 133/2003
135255: MPV 131/2003
145549: MPV 140/2003
133825: MPV 129/2003
138604: MPV 132/2003
147818: MPV 139/2003
126040: MPV 124/2003
143020: MPV 136/2003
133827: MPV 130/2003
124116: MPV 122/2003
150357: MPV 153/2003
148775: MPV 144/2003
111346: MPV 114/2003
112202: MPV 117/2003
112201: MPV 116/2003
105506: MPV 106/2003
105504: MPV 104/2003
121433: MPV 120/2003
127989: MPV 126/2003
127970: MPV 125/2003
140406: MPV 135/2003
112203: MPV 118/2003
105503: MPV 103/2003
124115: MPV 121/2003
105507: MPV 107/2003
106616: PDC 13/2003
142458: PEC 199/2003
131591: PEC 153/2003
120186: PEC 101/2003
129219: PEC 138/2003
114145: PEC 47/2003
106071: PEC 7/2003
126143: PLP 73/2003
126541: PLP 76/2003
119684: PLP 58/2003
115155: PLP 41/2003
104885: PLP 12/2003
109175: PLP 22/2003
113716: PEC 40/2003
125572: PLP 72/2003
104342: PLP 1/2003
113717: PEC 41/2003
272315: PL 4591/2004
272058: PL 4559/2004
271219: PL 4529/2004
269767: PL 4428/2004
264293: PL 4125/2004
260404: PL 3937/2004
254614: PL 3627/2004
251745: PL 3476/2004
153275: PL 2944/2004
274634: MPV 231/2004
274654: MPV 233/2004
272914: MPV 228/2004
270567: MPV 225/2004
272146: MPV 227/2004
274653: MPV 232/2004
265572: MPV 219/2004
259289: MPV 194/2004
261463: MPV 206/2004
259400: MPV 195/2004
261022: MPV 201/2004
262712: MPV 208/2004
260950: MPV 200/2004
262198: MPV 207/2004
159554: MPV 179/2004
259613: MPV 196/2004
257781: MPV 191/2004
258595: MPV 192/2004
260897: MPV 198/2004
158197: MPV 177/2004
154465: MPV 166/2004
251072: MPV 182/2004
154539: MPV 169/2004
154538: MPV 168/2004
251120: MPV 183/2004
154528: MPV 167/2004
151648: MPV 161/2004
153730: MPV 165/2004
252972: PDC 1274/2004
269852: PEC 333/2004
256022: PEC 285/2004
274311: PLP 230/2004
270010: PLP 217/2004
150410: PEC 228/2004
258267: PLP 188/2004
255794: PLP 182/2004
257126: PLP 184/2004
253010: PLP 177/2004
150399: PEC 227/2004
150559: PLP 123/2004
307925: PL 6272/2005
298990: PL 5855/2005
298607: PL 5829/2005
297881: PL 5800/2005
292328: PL 5524/2005
284827: PL 5186/2005
279543: PL 4955/2005
275322: PL 4776/2005
311025: MPV 273/2005
311012: MPV 272/2005
304792: MPV 264/2005
308633: MPV 268/2005
307822: MPV 267/2005
310833: MPV 269/2005
292729: MPV 255/2005
294427: MPV 256/2005
294428: MPV 257/2005
289945: MPV 251/2005
294430: MPV 259/2005
280978: MPV 245/2005
311031: MPV 275/2005
290460: MPV 252/2005
279507: MPV 242/2005
284567: MPV 249/2005
298221: MPV 260/2005
277133: MPV 241/2005
309954: PDC 2075/2005
294429: MPV 258/2005
282740: MPV 248/2005
286611: MPV 250/2005
304008: PEC 471/2005
307814: PEC 483/2005
290677: PEC 416/2005
290450: PEC 413/2005
293027: PLP 277/2005
284448: PLP 244/2005
285867: PLP 249/2005
339409: PL 7703/2006
339302: PL 7701/2006
335937: PL 7569/2006
327896: PL 7225/2006
339630: MPV 338/2006
339552: MPV 336/2006
338066: MPV 332/2006
335039: MPV 327/2006
335178: MPV 328/2006
339696: MPV 340/2006
339705: MPV 341/2006
332482: MPV 316/2006
339551: MPV 335/2006
318828: MPV 287/2006
314559: MPV 281/2006
316493: MPV 285/2006
313707: MPV 279/2006
316249: MPV 283/2006
313522: MPV 278/2006
339689: MPV 339/2006
316491: MPV 284/2006
311039: MPV 276/2006
320786: MPV 291/2006
319342: MPV 288/2006
314558: MPV 280/2006
320338: PEC 536/2006
332451: PEC 565/2006
312135: PEC 495/2006
334677: PLP 380/2006
332542: PLP 375/2006
325847: PLP 362/2006
313951: PEC 511/2006
330427: PEC 558/2006
377706: PL 2468/2007
378478: PL 2502/2007
368924: PL 2105/2007
368448: PL 2086/2007
366816: PL 1990/2007
366851: PL 1992/2007
363819: PL 1825/2007
360906: PL 1664/2007
358126: PL 1481/2007
353741: PL 1210/2007
350108: PL 940/2007
347880: PL 708/2007
347832: PL 696/2007
343930: PL 323/2007
343615: PL 301/2007
340368: PL 84/2007
339977: PL 18/2007
382682: MPV 411/2007
382667: MPV 408/2007
382681: MPV 410/2007
382665: MPV 406/2007
372150: MPV 399/2007
382680: MPV 409/2007
374302: MPV 400/2007
371547: MPV 397/2007
368679: MPV 394/2007
365489: MPV 386/2007
380508: MPV 404/2007
368170: MPV 392/2007
368084: MPV 391/2007
366620: MPV 388/2007
368083: MPV 390/2007
377965: MPV 402/2007
365555: MPV 387/2007
356033: MPV 377/2007
357806: MPV 379/2007
352580: MPV 372/2007
356032: MPV 376/2007
364186: MPV 385/2007
349771: MPV 366/2007
353093: MPV 373/2007
346782: MPV 362/2007
348693: MPV 363/2007
348711: MPV 364/2007
345070: MPV 359/2007
371789: MPV 398/2007
363568: MPV 384/2007
354034: MPV 374/2007
350464: MPV 369/2007
382081: MPV 405/2007
355920: MPV 375/2007
358878: MPV 381/2007
344468: MPV 357/2007
339854: MPV 354/2007
345069: MPV 358/2007
356695: MPV 378/2007
339853: MPV 346/2007
363391: MPV 383/2007
339846: MPV 347/2007
339851: MPV 352/2007
339801: MPV 344/2007
339848: MPV 349/2007
339850: MPV 351/2007
346697: MPV 360/2007
339847: MPV 348/2007
339823: MPV 345/2007
373907: PDC 387/2007
349475: PDC 36/2007
349474: PDC 35/2007
377011: PEC 190/2007
361442: PEC 130/2007
357094: PEC 98/2007
350808: PEC 58/2007
378096: PLP 144/2007
375562: PLP 132/2007
356805: PLP 79/2007
345552: PLP 28/2007
340034: PLP 2/2007
346913: PLP 35/2007
403395: PL 3674/2008
396209: PL 3452/2008
387129: PL 3021/2008
413959: MPV 444/2008
422455: MPV 452/2008
408453: MPV 441/2008
413095: MPV 443/2008
420066: MPV 450/2008
402373: MPV 435/2008
394104: MPV 429/2008
419290: MPV 449/2008
398628: MPV 434/2008
394100: MPV 427/2008
420746: MPV 451/2008
416057: MPV 447/2008
408452: MPV 440/2008
415049: MPV 445/2008
388308: MPV 422/2008
384554: MPV 420/2008
383657: MPV 418/2008
392908: MPV 425/2008
382725: MPV 417/2008
385150: MPV 421/2008
382689: MPV 414/2008
402378: MPV 436/2008
396987: MPV 432/2008
394947: MPV 431/2008
382708: MPV 415/2008
391163: MPV 424/2008
421019: PDC 1345/2008
422002: PDC 1351/2008
382688: MPV 413/2008
412236: PDC 981/2008
394337: PDC 563/2008
414367: PEC 300/2008
401376: PEC 270/2008
403508: PEC 277/2008
397936: PLP 374/2008
412854: PLP 416/2008
394079: PLP 306/2008
447936: PL 5940/2009
447937: PL 5941/2009
447935: PL 5939/2009
445427: PL 5798/2009
443164: PL 5664/2009
440269: PL 5498/2009
438409: PL 5417/2009
436985: PL 5334/2009
436599: PL 5312/2009
434938: PL 5245/2009
435878: PL 5279/2009
438197: MPV 464/2009
465331: MPV 476/2009
428043: MPV 459/2009
447734: MPV 468/2009
464520: MPV 472/2009
422643: MPV 453/2009
434563: MPV 462/2009
465329: MPV 475/2009
422684: MPV 455/2009
422683: MPV 454/2009
453801: MPV 469/2009
465356: MPV 477/2009
440177: MPV 465/2009
423428: MPV 458/2009
423427: MPV 457/2009
443158: MPV 466/2009
428250: MPV 460/2009
454911: MPV 470/2009
463451: PEC 446/2009
463268: PEC 445/2009
441673: PEC 391/2009
430472: PEC 351/2009
426299: PEC 336/2009
423585: PEC 324/2009
463287: PLP 543/2009
429836: PLP 462/2009
483808: PL 7663/2010
490387: MPV 521/2010
487966: MPV 513/2010
488607: MPV 514/2010
485262: MPV 501/2010
485275: MPV 503/2010
483948: MPV 495/2010
487868: MPV 512/2010
482426: MPV 493/2010
490375: MPV 517/2010
466305: MPV 482/2010
485274: MPV 502/2010
474361: MPV 487/2010
485758: MPV 511/2010
471270: MPV 483/2010
476031: PDC 2600/2010
483907: PEC 507/2010
473496: PEC 478/2010
479328: PLP 579/2010
489410: PLV 16/2010
524645: PL 2565/2011
520245: PL 2330/2011
511029: PL 1749/2011
500079: PL 1209/2011
494004: PL 643/2011
527723: MPV 549/2011
527728: MPV 550/2011
513172: MPV 539/2011
528165: MPV 551/2011
499323: MPV 530/2011
501821: PDC 220/2011
497616: PDC 47/2011
527704: PEC 111/2011
507965: PEC 37/2011
529884: PLP 114/2011
515433: PLP 87/2011
513496: PEC 61/2011
564113: PL 4904/2012
556261: PL 4470/2012
564520: MPV 600/2012
564521: MPV 601/2012
559706: MPV 589/2012
564522: MPV 602/2012
559465: MPV 587/2012
556332: MPV 582/2012
562466: MPV 593/2012
564453: MPV 597/2012
552689: MPV 575/2012
559275: MPV 586/2012
553247: MPV 576/2012
533535: MPV 558/2012
545925: MPV 571/2012
555727: MPV 579/2012
549909: MPV 574/2012
544463: MPV 570/2012
542431: MPV 566/2012
543448: MPV 567/2012
535959: MPV 559/2012
540142: MPV 563/2012
562615: MPV 595/2012
555286: PLN 24/2012
580951: MPV 620/2013
579869: MPV 618/2013
576000: MPV 613/2013
566891: MPV 609/2013
566047: MPV 608/2013
564548: MPV 605/2013
571752: PDC 824/2013
581700: PLP 288/2013
573508: PLP 266/2013
# Arquivo gerado pela classe ProposicoesFinder
# para achar os IDs existentes na camara dos deputados
# Procurando ids entre 1988 e 2014.
# id  : proposicao
#-----------
# Arquivo gerado pela classe ProposicoesFinder
# para achar os IDs existentes na camara dos deputados
# Procurando ids entre 1988 e 2014.
# id  : proposicao
#-----------
# Arquivo gerado pela classe ProposicoesFinder
# para achar os IDs existentes na camara dos deputados
# Procurando ids entre 1988 e 2014.
# id  : proposicao
#-----------
# Arquivo gerado pela classe ProposicoesFinder
# para achar os IDs existentes na camara dos deputados
# Procurando ids entre 1988 e 2014.
# id  : proposicao
#-----------
# Arquivo gerado pela classe ProposicoesFinder
# para achar os IDs existentes na camara dos deputados
# Procurando ids entre 1988 e 2014.
# id  : proposicao
#-----------
# Arquivo gerado pela classe ProposicoesFinder
# para achar os IDs existentes na camara dos deputados
# Procurando ids entre 1988 e 2014.
# id  : proposicao
#-----------
# Arquivo gerado pela classe ProposicoesFinder
# para achar os IDs existentes na camara dos deputados
# Procurando ids entre 1988 e 2014.
# id  : proposicao
#-----------
# Arquivo gerado pela classe ProposicoesFinder
# para achar os IDs existentes na camara dos deputados
# Procurando ids entre 1988 e 2014.
# id  : proposicao
#-----------
# Arquivo gerado pela classe ProposicoesFinder
# para achar os IDs existentes na camara dos deputados
# Procurando ids entre 1988 e 2014.
# id  : proposicao
#-----------
# Arquivo gerado pela classe ProposicoesFinder
# para achar os IDs existentes na camara dos deputados
# Procurando ids entre 1988 e 2014.
# id  : proposicao
#-----------
# Arquivo gerado pela classe ProposicoesFinder
# para achar os IDs existentes na camara dos deputados
# Procurando ids entre 1988 e 2014.
# id  : proposicao
#-----------
# Arquivo gerado pela classe ProposicoesFinder
# para achar os IDs existentes na camara dos deputados
# Procurando ids entre 1988 e 2014.
# id  : proposicao
#-----------
# Arquivo gerado pela classe ProposicoesFinder
# para achar os IDs existentes na camara dos deputados
# Procurando ids entre 1988 e 2014.
# id  : proposicao
#-----------
# Arquivo gerado pela classe ProposicoesFinder
# para achar os IDs existentes na camara dos deputados
# Procurando ids entre 1988 e 2014.
# id  : proposicao
#-----------
17338: PL 1876/1999
34462: PL 5403/2001
36162: PEC 438/2001
131591: PEC 153/2003
274311: PLP 230/2004
290677: PEC 416/2005
304008: PEC 471/2005
325847: PLP 362/2006
343615: PL 301/2007
366851: PL 1992/2007
401376: PEC 270/2008
435878: PL 5279/2009
463268: PEC 445/2009
473496: PEC 478/2010
479328: PLP 579/2010
494004: PL 643/2011
496725: PL 865/2011
497188: REQ 1134/2011 => PL 865/2011
508967: REQ 2130/2011 => PLP 579/2010
520245: PL 2330/2011
524645: PL 2565/2011
527723: MPV 549/2011
527728: MPV 550/2011
528091: PDC 514/2011
528165: MPV 551/2011
529011: PL 2793/2011
529884: PLP 114/2011
533505: MPV 554/2011
533535: MPV 558/2012
535959: MPV 559/2012
536066: REQ 4504/2012 => PL 2330/2011
536551: REQ 12/2012 CDHM
537339: REQ 4636/2012 => PL 2565/2011
540142: MPV 563/2012
540560: REQ 12/2012 PL212611 => PL 2126/2011
541002: REQ 12/2012 PL157211
541149: REQ 12/2012 CPITRAES
541303: REQ 12/2012 CPICRIAN
542431: MPV 566/2012
543448: MPV 567/2012
544136: PL 3839/2012
544355: REQ 12/2012 PEC03711 => PEC 37/2011
544411: REQ 12/2012 CPITRAPE
544463: MPV 570/2012
545925: MPV 571/2012
548345: REQ 12/2012 CEENSI
549909: MPV 574/2012
552689: MPV 575/2012
553247: MPV 576/2012
553256: REQ 12/2012 PL355504 => PL 3555/2004
554412: REQ 6062/2012 => PL 2154/2011
555727: MPV 579/2012
555993: REQ 6135/2012 => PL 4367/2012
561593: REQ 6460/2012 => PL 2205/2011
561594: REQ 6461/2012 => PL 4365/2012
17338: PL 1876/1999
34462: PL 5403/2001
36162: PEC 438/2001
131591: PEC 153/2003
274311: PLP 230/2004
290677: PEC 416/2005
304008: PEC 471/2005
325847: PLP 362/2006
343615: PL 301/2007
366851: PL 1992/2007
401376: PEC 270/2008
435878: PL 5279/2009
463268: PEC 445/2009
473496: PEC 478/2010
479328: PLP 579/2010
494004: PL 643/2011
496725: PL 865/2011
497188: REQ 1134/2011 => PL 865/2011
508967: REQ 2130/2011 => PLP 579/2010
520245: PL 2330/2011
524645: PL 2565/2011
527723: MPV 549/2011
527728: MPV 550/2011
528091: PDC 514/2011
528165: MPV 551/2011
529011: PL 2793/2011
529884: PLP 114/2011
533505: MPV 554/2011
533535: MPV 558/2012
535959: MPV 559/2012
536066: REQ 4504/2012 => PL 2330/2011
536551: REQ 12/2012 CDHM
537339: REQ 4636/2012 => PL 2565/2011
540142: MPV 563/2012
540560: REQ 12/2012 PL212611 => PL 2126/2011
541002: REQ 12/2012 PL157211
541149: REQ 12/2012 CPITRAES
541303: REQ 12/2012 CPICRIAN
542431: MPV 566/2012
543448: MPV 567/2012
544136: PL 3839/2012
544355: REQ 12/2012 PEC03711 => PEC 37/2011
544411: REQ 12/2012 CPITRAPE
544463: MPV 570/2012
545925: MPV 571/2012
548345: REQ 12/2012 CEENSI
549909: MPV 574/2012
552689: MPV 575/2012
553247: MPV 576/2012
553256: REQ 12/2012 PL355504 => PL 3555/2004
554412: REQ 6062/2012 => PL 2154/2011
555727: MPV 579/2012
555993: REQ 6135/2012 => PL 4367/2012
561593: REQ 6460/2012 => PL 2205/2011
561594: REQ 6461/2012 => PL 4365/2012
17338: PL 1876/1999
34462: PL 5403/2001
36162: PEC 438/2001
131591: PEC 153/2003
274311: PLP 230/2004
290677: PEC 416/2005
304008: PEC 471/2005
325847: PLP 362/2006
343615: PL 301/2007
366851: PL 1992/2007
401376: PEC 270/2008
435878: PL 5279/2009
463268: PEC 445/2009
473496: PEC 478/2010
479328: PLP 579/2010
494004: PL 643/2011
496725: PL 865/2011
497188: REQ 1134/2011 => PL 865/2011
508967: REQ 2130/2011 => PLP 579/2010
520245: PL 2330/2011
524645: PL 2565/2011
527723: MPV 549/2011
527728: MPV 550/2011
528091: PDC 514/2011
528165: MPV 551/2011
529011: PL 2793/2011
529884: PLP 114/2011
533505: MPV 554/2011
533535: MPV 558/2012
535959: MPV 559/2012
536066: REQ 4504/2012 => PL 2330/2011
536551: REQ 12/2012 CDHM
537339: REQ 4636/2012 => PL 2565/2011
540142: MPV 563/2012
540560: REQ 12/2012 PL212611 => PL 2126/2011
541002: REQ 12/2012 PL157211
541149: REQ 12/2012 CPITRAES
541303: REQ 12/2012 CPICRIAN
542431: MPV 566/2012
543448: MPV 567/2012
544136: PL 3839/2012
544355: REQ 12/2012 PEC03711 => PEC 37/2011
544411: REQ 12/2012 CPITRAPE
544463: MPV 570/2012
545925: MPV 571/2012
548345: REQ 12/2012 CEENSI
549909: MPV 574/2012
552689: MPV 575/2012
553247: MPV 576/2012
553256: REQ 12/2012 PL355504 => PL 3555/2004
554412: REQ 6062/2012 => PL 2154/2011
555727: MPV 579/2012
555993: REQ 6135/2012 => PL 4367/2012
561593: REQ 6460/2012 => PL 2205/2011
561594: REQ 6461/2012 => PL 4365/2012
17338: PL 1876/1999
34462: PL 5403/2001
36162: PEC 438/2001
131591: PEC 153/2003
274311: PLP 230/2004
290677: PEC 416/2005
304008: PEC 471/2005
325847: PLP 362/2006
343615: PL 301/2007
366851: PL 1992/2007
401376: PEC 270/2008
435878: PL 5279/2009
463268: PEC 445/2009
473496: PEC 478/2010
479328: PLP 579/2010
494004: PL 643/2011
496725: PL 865/2011
497188: REQ 1134/2011 => PL 865/2011
508967: REQ 2130/2011 => PLP 579/2010
520245: PL 2330/2011
524645: PL 2565/2011
527723: MPV 549/2011
527728: MPV 550/2011
528091: PDC 514/2011
528165: MPV 551/2011
529011: PL 2793/2011
529884: PLP 114/2011
533505: MPV 554/2011
533535: MPV 558/2012
535959: MPV 559/2012
536066: REQ 4504/2012 => PL 2330/2011
536551: REQ 12/2012 CDHM
537339: REQ 4636/2012 => PL 2565/2011
540142: MPV 563/2012
540560: REQ 12/2012 PL212611 => PL 2126/2011
541002: REQ 12/2012 PL157211
541149: REQ 12/2012 CPITRAES
541303: REQ 12/2012 CPICRIAN
542431: MPV 566/2012
543448: MPV 567/2012
544136: PL 3839/2012
544355: REQ 12/2012 PEC03711 => PEC 37/2011
544411: REQ 12/2012 CPITRAPE
544463: MPV 570/2012
545925: MPV 571/2012
548345: REQ 12/2012 CEENSI
549909: MPV 574/2012
552689: MPV 575/2012
553247: MPV 576/2012
553256: REQ 12/2012 PL355504 => PL 3555/2004
554412: REQ 6062/2012 => PL 2154/2011
555727: MPV 579/2012
555993: REQ 6135/2012 => PL 4367/2012
561593: REQ 6460/2012 => PL 2205/2011
561594: REQ 6461/2012 => PL 4365/2012
17338: PL 1876/1999
34462: PL 5403/2001
36162: PEC 438/2001
131591: PEC 153/2003
274311: PLP 230/2004
290677: PEC 416/2005
304008: PEC 471/2005
325847: PLP 362/2006
343615: PL 301/2007
366851: PL 1992/2007
401376: PEC 270/2008
435878: PL 5279/2009
463268: PEC 445/2009
473496: PEC 478/2010
479328: PLP 579/2010
494004: PL 643/2011
496725: PL 865/2011
497188: REQ 1134/2011 => PL 865/2011
508967: REQ 2130/2011 => PLP 579/2010
520245: PL 2330/2011
524645: PL 2565/2011
527723: MPV 549/2011
527728: MPV 550/2011
528091: PDC 514/2011
528165: MPV 551/2011
529011: PL 2793/2011
529884: PLP 114/2011
533505: MPV 554/2011
533535: MPV 558/2012
535959: MPV 559/2012
536066: REQ 4504/2012 => PL 2330/2011
536551: REQ 12/2012 CDHM
537339: REQ 4636/2012 => PL 2565/2011
540142: MPV 563/2012
540560: REQ 12/2012 PL212611 => PL 2126/2011
541002: REQ 12/2012 PL157211
541149: REQ 12/2012 CPITRAES
541303: REQ 12/2012 CPICRIAN
542431: MPV 566/2012
543448: MPV 567/2012
544136: PL 3839/2012
544355: REQ 12/2012 PEC03711 => PEC 37/2011
544411: REQ 12/2012 CPITRAPE
544463: MPV 570/2012
545925: MPV 571/2012
548345: REQ 12/2012 CEENSI
549909: MPV 574/2012
552689: MPV 575/2012
553247: MPV 576/2012
553256: REQ 12/2012 PL355504 => PL 3555/2004
554412: REQ 6062/2012 => PL 2154/2011
555727: MPV 579/2012
555993: REQ 6135/2012 => PL 4367/2012
561593: REQ 6460/2012 => PL 2205/2011
561594: REQ 6461/2012 => PL 4365/2012
17338: PL 1876/1999
34462: PL 5403/2001
36162: PEC 438/2001
131591: PEC 153/2003
274311: PLP 230/2004
290677: PEC 416/2005
304008: PEC 471/2005
325847: PLP 362/2006
343615: PL 301/2007
366851: PL 1992/2007
401376: PEC 270/2008
435878: PL 5279/2009
463268: PEC 445/2009
473496: PEC 478/2010
479328: PLP 579/2010
494004: PL 643/2011
496725: PL 865/2011
497188: REQ 1134/2011 => PL 865/2011
508967: REQ 2130/2011 => PLP 579/2010
520245: PL 2330/2011
524645: PL 2565/2011
527723: MPV 549/2011
527728: MPV 550/2011
528091: PDC 514/2011
528165: MPV 551/2011
529011: PL 2793/2011
529884: PLP 114/2011
533505: MPV 554/2011
533535: MPV 558/2012
535959: MPV 559/2012
536066: REQ 4504/2012 => PL 2330/2011
536551: REQ 12/2012 CDHM
537339: REQ 4636/2012 => PL 2565/2011
540142: MPV 563/2012
540560: REQ 12/2012 PL212611 => PL 2126/2011
541002: REQ 12/2012 PL157211
541149: REQ 12/2012 CPITRAES
541303: REQ 12/2012 CPICRIAN
542431: MPV 566/2012
543448: MPV 567/2012
544136: PL 3839/2012
544355: REQ 12/2012 PEC03711 => PEC 37/2011
544411: REQ 12/2012 CPITRAPE
544463: MPV 570/2012
545925: MPV 571/2012
548345: REQ 12/2012 CEENSI
549909: MPV 574/2012
552689: MPV 575/2012
553247: MPV 576/2012
553256: REQ 12/2012 PL355504 => PL 3555/2004
554412: REQ 6062/2012 => PL 2154/2011
555727: MPV 579/2012
555993: REQ 6135/2012 => PL 4367/2012
561593: REQ 6460/2012 => PL 2205/2011
561594: REQ 6461/2012 => PL 4365/2012
17338: PL 1876/1999
34462: PL 5403/2001
36162: PEC 438/2001
131591: PEC 153/2003
274311: PLP 230/2004
290677: PEC 416/2005
304008: PEC 471/2005
325847: PLP 362/2006
343615: PL 301/2007
366851: PL 1992/2007
401376: PEC 270/2008
435878: PL 5279/2009
463268: PEC 445/2009
473496: PEC 478/2010
479328: PLP 579/2010
494004: PL 643/2011
496725: PL 865/2011
497188: REQ 1134/2011 => PL 865/2011
508967: REQ 2130/2011 => PLP 579/2010
520245: PL 2330/2011
524645: PL 2565/2011
527723: MPV 549/2011
527728: MPV 550/2011
528091: PDC 514/2011
528165: MPV 551/2011
529011: PL 2793/2011
529884: PLP 114/2011
533505: MPV 554/2011
533535: MPV 558/2012
535959: MPV 559/2012
536066: REQ 4504/2012 => PL 2330/2011
536551: REQ 12/2012 CDHM
537339: REQ 4636/2012 => PL 2565/2011
540142: MPV 563/2012
540560: REQ 12/2012 PL212611 => PL 2126/2011
541002: REQ 12/2012 PL157211
541149: REQ 12/2012 CPITRAES
541303: REQ 12/2012 CPICRIAN
542431: MPV 566/2012
543448: MPV 567/2012
544136: PL 3839/2012
544355: REQ 12/2012 PEC03711 => PEC 37/2011
544411: REQ 12/2012 CPITRAPE
544463: MPV 570/2012
545925: MPV 571/2012
548345: REQ 12/2012 CEENSI
549909: MPV 574/2012
552689: MPV 575/2012
553247: MPV 576/2012
553256: REQ 12/2012 PL355504 => PL 3555/2004
554412: REQ 6062/2012 => PL 2154/2011
555727: MPV 579/2012
555993: REQ 6135/2012 => PL 4367/2012
561593: REQ 6460/2012 => PL 2205/2011
561594: REQ 6461/2012 => PL 4365/2012
17338: PL 1876/1999
34462: PL 5403/2001
36162: PEC 438/2001
131591: PEC 153/2003
274311: PLP 230/2004
290677: PEC 416/2005
304008: PEC 471/2005
325847: PLP 362/2006
343615: PL 301/2007
366851: PL 1992/2007
401376: PEC 270/2008
435878: PL 5279/2009
463268: PEC 445/2009
473496: PEC 478/2010
479328: PLP 579/2010
494004: PL 643/2011
496725: PL 865/2011
497188: REQ 1134/2011 => PL 865/2011
508967: REQ 2130/2011 => PLP 579/2010
520245: PL 2330/2011
524645: PL 2565/2011
527723: MPV 549/2011
527728: MPV 550/2011
528091: PDC 514/2011
528165: MPV 551/2011
529011: PL 2793/2011
